id,name,contact_person,email,phone,payment_terms,is_active,created_at
33,Marsh-Cruz,Dawn Smith,walteranna@example.com,001-401-675-6171x42629,Net 15,1,2026-02-18T14:40:18.423715
34,"Carlson, Austin and Rice",Amanda Davila,christopher82@example.net,703-800-4050x49917,COD,1,2026-04-28T12:43:00.247238
35,Parker-Gibson,Jeffrey Johnson,patelmary@example.com,001-405-497-1036,Net 30,1,2026-02-17T19:42:19.645511
36,Stewart Inc,Laura Nunez,jonesmichele@example.net,001-708-587-4072,Net 60,1,2026-04-10T15:02:39.012180
37,Wilson Ltd,Paul Richmond,qcampbell@example.net,+1-760-244-3993x825,COD,0,2026-04-03T03:01:42.132992
38,"Anderson, Kramer and Turner",Colin Weber MD,jessica15@example.org,225.859.4236,Net 15,0,2026-03-19T20:27:57.339840
39,Pierce-Lewis,Tamara Gibson,colestephanie@example.net,341-316-0623x78669,Net 30,0,2026-04-23T18:58:00.304589
40,Salas-Church,Katherine Shaw,tcervantes@example.org,(400)977-7983x192,Net 30,1,2026-03-16T16:44:16.371878
41,"Beard, Oconnell and Martin",Bradley Ford,travisflynn@example.org,985.283.1365,Net 60,0,2026-02-16T00:55:05.214167
42,Lane and Sons,Jacob Reed,joel47@example.org,225.596.7649,Net 60,1,2026-05-10T04:57:11.168750
43,Martinez Inc,Jamie Everett,griffinnichole@example.com,(302)778-1310x0768,Net 15,1,2026-01-01T01:20:36.895104
44,Davis PLC,Virginia Holmes,odennis@example.net,(640)421-3135x15730,Net 30,0,2026-05-02T01:01:21.590037
45,Sanchez Inc,Cathy Juarez,jennifer50@example.org,952-697-2215x0144,Net 15,0,2026-02-09T12:40:59.089737
46,Hanna-Bass,Christopher Castillo,brianwhite@example.net,001-767-350-2110,COD,0,2026-01-03T19:05:13.706587
47,Melton LLC,Ashley Bryant,bethanyparsons@example.com,(875)407-1471,COD,1,2026-01-19T23:56:47.379571
48,Leon-Flores,David Lane,jacquelinebaldwin@example.com,001-692-691-8192x8474,Net 60,1,2026-03-09T04:28:56.752308
49,"Cohen, Rangel and Garcia",Kevin Leach,kevinduke@example.org,254-686-1733x5146,Net 30,0,2026-02-21T05:49:24.852538
50,"Payne, Miller and Morales",Joel Jones,sparkskimberly@example.net,(794)819-8226x989,Net 15,1,2026-04-22T20:17:02.728833
